,thermal_stress,air_pollution,green_roof
1055,2,2,0
1056,2,2,1
1058,2,2,1
1060,2,2,1
1061,2,2,1
1062,2,2,0
1063,2,2,0
1064,2,2,0
1065,2,2,0
1070,2,2,1
1071,2,2,0
1072,2,2,1
1073,3,3,0
1074,3,3,1
1075,3,3,0
1076,3,3,1
1077,3,3,1
1078,3,3,1
1079,3,3,0
1080,3,3,1
1083,3,3,1
1084,3,3,1
1085,3,3,0
1086,3,3,1
1087,2,2,1
1088,2,2,1
1089,2,2,1
1090,2,2,1
1091,2,2,1
1093,2,2,0
1094,2,2,0
1095,2,2,1
1096,2,2,0
1098,2,2,1
1100,2,2,1
1101,2,2,1
1102,2,2,0
1104,2,2,0
1105,2,2,0
1106,2,2,1
1107,2,2,1
1108,2,3,1
1109,2,3,1
1110,2,3,1
1111,2,3,1
1112,2,3,1
1113,2,3,0
1114,2,3,1
1115,2,3,0
1116,2,3,0
1117,2,3,1
1118,2,3,0
1119,2,3,0
1120,2,3,0
1121,2,3,0
1122,2,3,0
1123,2,3,0
1124,2,3,0
1125,2,3,0
1126,2,3,1
1127,2,3,1
1128,2,3,1
1129,2,3,1
1130,2,2,1
1131,2,2,1
1132,2,2,0
1133,2,2,1
1134,2,2,1
1135,2,2,1
1136,2,2,1
1137,2,2,0
1138,2,2,1
1139,2,2,0
1140,2,2,1
1141,2,2,1
1142,2,2,1
1143,2,2,1
1144,2,2,1
1145,2,2,1
1146,2,2,0
1147,2,2,1
1148,2,2,1
1149,2,2,1
1150,2,2,1
1151,2,2,0
1152,2,2,1
1153,2,2,1
1154,2,2,1
1155,2,2,0
1156,2,2,0
1157,2,2,0
1158,2,2,1
1159,2,2,1
1160,2,2,1
1161,2,2,0
1163,2,2,1
1164,2,2,1
1165,2,3,0
1166,2,3,0
1167,2,3,0
1168,2,3,0
1173,2,2,1
1174,2,2,1
1175,2,2,1
1176,2,2,0
1177,2,2,0
1178,2,2,1
1179,2,3,0
1180,2,2,0
1181,2,2,0
1182,2,2,0
1185,3,2,1
1186,3,2,1
1187,3,2,0
1191,3,2,1
1192,3,2,1
1193,3,2,0
1195,3,2,0
1196,3,2,1
1197,3,2,1
1198,3,2,1
1199,3,2,0
1201,3,2,1
1203,3,2,1
1205,3,2,1
1206,3,2,1
1207,3,2,1
1208,3,2,0
1209,3,2,1
1211,3,2,0
1212,3,2,1
1213,3,2,1
1214,3,2,1
1215,3,2,1
1216,3,2,1
1217,3,2,1
1218,3,2,1
1219,3,2,0
1220,3,2,1
1221,3,2,1
1223,3,2,1
1224,3,2,1
1225,2,2,0
1226,3,2,0
1228,3,2,1
1229,3,2,1
1232,2,2,1
1233,2,2,0
1235,2,2,1
1236,2,2,1
1237,2,2,1
1238,2,2,1
1239,2,2,1
1240,2,2,1
1242,3,2,0
1243,3,2,0
1244,3,2,0
1245,3,2,0
1246,3,2,0
1247,3,2,0
1248,3,2,0
1249,3,2,0
1250,2,2,0
1251,2,2,0
1252,2,2,1
1253,2,2,0
1254,3,3,1
1255,3,3,1
1256,3,3,1
1258,3,3,1
1260,3,3,1
1261,3,3,0
1262,2,2,1
1263,2,2,0
1264,2,2,1
1265,3,3,1
1266,3,3,1
1267,3,3,1
1268,3,3,0
1269,3,3,0
1270,3,3,0
1271,3,3,0
1272,3,3,1
1273,3,3,1
1274,3,3,0
1275,3,3,1
1277,3,3,1
1278,3,3,0
1279,2,2,0
1280,3,3,0
1281,2,2,1
1282,3,3,1
1283,3,3,1
1284,3,3,1
1285,3,3,1
1286,3,3,1
1287,3,3,1
1288,3,3,0
1289,3,3,1
1290,3,3,0
1291,3,3,1
1292,3,3,0
1293,3,3,0
1295,3,3,0
1296,3,3,1
1297,3,3,0
1298,3,3,0
1299,3,3,1
1300,3,3,1
1301,3,3,1
1302,3,3,1
1303,3,3,0
1304,3,3,1
1305,3,3,0
1306,3,3,1
1307,3,3,1
1309,3,3,1
1310,3,3,1
1312,2,3,1
1313,2,3,1
1314,2,3,0
1315,2,3,1
1316,2,3,0
1317,3,3,1
1319,2,3,1
1320,3,3,0
1321,3,3,1
1323,3,3,1
1324,3,3,1
1326,2,3,1
1327,2,3,1
1328,3,3,0
1329,3,3,0
1330,3,3,0
1331,3,3,0
1332,2,2,0
1333,3,3,0
1334,3,3,0
1335,3,3,0
1336,3,3,0
1337,3,3,0
1338,3,3,0
1339,3,3,0
1341,3,3,0
1342,3,3,0
1343,3,3,0
1344,2,2,0
1345,2,2,0
1347,3,3,1
1348,3,3,1
1349,3,3,1
1350,2,2,1
1351,2,2,1
1353,3,3,1
1356,3,3,0
1357,3,3,0
1358,3,3,1
1359,2,3,0
1360,3,3,1
1361,3,3,1
1363,3,3,1
1364,3,3,0
1365,3,3,0
1367,2,2,0
1369,2,2,0
1372,2,2,1
1373,2,2,1
1374,2,1,1
1376,2,2,0
1377,2,2,0
1378,2,2,0
1379,2,2,0
1384,2,1,0
1386,2,1,0
1388,2,1,0
1391,2,1,0
1392,2,1,0
1403,2,1,0
1404,2,1,0
1420,2,1,0
1421,2,1,0
1422,2,1,0
1424,2,1,1
1426,2,1,0
1428,2,2,0
1429,2,2,0
1430,2,2,0
1431,2,2,0
1432,2,1,1
1433,2,1,1
1434,2,1,0
1435,2,2,0
1436,2,2,1
1437,2,1,1
1438,2,1,0
1439,2,1,0
1440,2,2,0
1441,2,2,0
1443,2,2,0
1444,2,2,0
1445,2,2,0
1446,2,2,0
1447,2,2,0
1448,2,2,0
1449,2,2,0
1450,2,2,1
1451,2,2,0
1452,2,2,0
1453,2,2,0
1454,2,2,0
1455,2,2,0
1456,2,2,1
1457,2,2,1
1458,2,2,1
1459,2,2,1
1460,2,2,0
1461,2,2,1
1462,2,2,1
1464,2,2,0
1466,2,1,0
1467,2,1,0
1468,2,1,0
1469,2,2,0
1470,2,2,0
1471,2,2,0
1472,2,2,1
1473,2,2,0
1474,2,2,0
1475,2,2,0
1476,2,2,0
1477,2,2,0
1478,2,1,1
1479,2,1,0
1480,2,1,1
1481,2,1,1
1482,2,2,1
1483,2,2,0
1484,2,2,0
1485,2,2,0
1486,2,2,0
1488,2,2,0
1489,2,2,0
1491,2,2,1
1492,2,2,0
1494,2,2,1
1495,2,2,1
1501,2,2,1
1502,2,2,1
1503,2,2,0
1504,2,2,1
1505,2,2,1
1506,2,2,0
1509,2,2,0
1510,2,2,1
1512,2,1,0
1513,2,1,0
1517,2,2,0
1520,2,2,1
1521,2,2,0
1522,2,2,1
1523,2,2,1
1524,2,2,0
1525,2,2,0
1526,2,2,1
1527,2,2,1
1528,2,2,1
1529,2,2,0
1530,2,2,1
1531,2,2,1
1532,3,3,1
1533,3,3,0
1534,3,3,1
1535,3,3,1
1536,3,3,1
1537,3,3,0
1538,3,2,0
1539,3,3,1
1540,3,3,0
1541,3,3,0
1542,2,3,1
1543,2,3,0
1544,2,3,1
1545,2,3,0
1546,3,3,1
1547,2,3,1
1548,2,3,0
1549,2,3,1
1551,2,3,1
1552,2,3,1
1553,2,3,1
1554,3,2,1
1555,3,2,1
1556,3,2,1
1557,3,2,1
1558,3,2,1
1559,3,2,0
1560,3,2,1
1561,3,2,1
1562,3,2,1
1563,3,2,1
1564,3,2,1
1565,3,2,1
1567,3,2,1
1569,3,2,1
1570,3,2,1
1571,3,2,0
1572,3,2,1
1573,2,3,1
1574,2,3,0
1575,2,3,0
1576,2,3,1
1577,2,3,1
1578,2,3,1
1579,2,3,1
1580,2,3,1
1581,2,3,0
1582,2,3,1
1583,2,3,1
1584,2,3,1
1585,2,3,1
1586,2,3,0
1587,3,3,1
1588,2,3,1
1589,3,3,1
1590,3,3,1
1592,3,2,0
1593,2,3,0
1594,2,2,0
1595,2,3,0
1596,2,3,0
1597,2,3,0
1598,3,3,0
1599,2,3,0
1600,2,3,0
1601,3,2,0
1602,3,2,0
1603,3,2,0
1604,3,2,0
1605,3,2,0
1606,2,3,0
1607,2,3,0
1608,3,3,0
1611,2,2,0
1612,2,2,0
1613,3,3,0
1614,3,3,0
1616,3,2,0
1617,3,2,0
1618,2,3,0
1619,2,3,0
1620,2,3,0
1621,3,3,0
1622,2,3,1
1623,2,3,0
1624,3,3,0
1625,3,3,0
1626,3,3,0
1627,3,3,0
1628,3,3,0
1629,3,3,0
1630,2,3,0
1631,2,3,0
1632,2,3,0
1633,2,3,0
1634,2,3,1
1636,3,3,0
1637,3,3,0
1638,3,3,0
1639,3,3,1
1640,3,3,0
1641,3,3,0
1642,3,3,0
1643,3,3,0
1644,3,3,1
1645,3,3,1
1646,3,3,1
1647,3,3,1
1648,3,3,1
1649,3,3,1
1650,3,3,0
1651,3,3,1
1652,3,3,0
1653,3,3,1
1654,3,3,1
1656,3,3,1
1657,3,3,1
1658,3,3,0
1659,3,3,1
1660,3,3,1
1661,3,3,0
1662,3,3,1
1663,3,3,1
1664,3,3,1
1665,3,3,0
1666,3,3,0
1667,3,3,0
1668,3,3,0
1669,3,3,0
1670,3,3,0
1672,3,3,1
1673,3,3,0
1674,3,3,0
1675,3,3,0
1676,3,3,0
1677,3,3,0
1678,3,3,0
1679,3,3,0
1680,3,3,1
1681,3,3,1
1682,3,3,1
1683,3,3,0
1684,3,3,0
1685,3,3,1
1686,3,3,0
1687,3,3,0
1688,3,3,1
1689,3,3,0
1690,2,2,0
1692,2,2,1
1693,2,2,1
1694,2,2,1
1696,2,2,1
1697,2,2,0
1700,2,2,1
1701,2,2,0
1702,2,2,1
1703,3,3,1
1704,3,3,1
1705,3,3,0
1706,2,3,0
1707,3,3,0
1708,3,3,0
1709,3,3,0
1710,3,3,0
1711,2,2,0
1712,2,2,0
1713,2,2,0
1714,2,2,0
1715,3,3,0
1716,3,3,0
1717,3,3,0
1718,3,3,0
1719,3,3,0
1720,3,3,0
1721,3,3,0
1722,3,3,0
1723,3,3,0
1724,3,3,0
1725,3,3,0
1726,2,3,0
1727,3,3,0
1728,3,3,0
1729,3,3,1
1730,3,3,0
1731,3,3,0
1732,3,3,0
1733,3,3,0
1734,3,3,1
1736,3,3,1
1737,3,3,0
1738,2,2,0
1739,2,2,0
1740,2,2,1
1741,3,3,1
1742,2,2,0
1744,2,2,0
1745,2,2,0
